file_path,category,doc_type,file_size_mb,parse_quality,parse_note,suggestion
交通运输/478803-极野智驭-驾驭荒野，_作业新时代-项目策划书-8a8acfac.pdf,交通运输,pdf,26.09,C,文件过大(26.09MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
其他/457623-星眸智析--多模态卫_来推演系统-项目策划书-44ee2220.pdf,其他,pdf,52.20,C,文件过大(52.20MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
其他/478331-极端气象下电力系统韧_性解决方案-项目策划书-19f309ac.pdf,其他,pdf,25.66,C,文件过大(25.66MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
其他/535591-EvoRobo：下一_智能机器人-项目策划书-fe2e79cb.pdf,其他,pdf,86.42,C,文件过大(86.42MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
农业发展/515508-面向南南合作国家的智_稻种植系统-项目策划书-75203835.pdf,农业发展,pdf,117.55,C,文件过大(117.55MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
工业制造/467876-广寒天工——月基装备_人作业系统-项目策划书-bea2dedb.pdf,工业制造,pdf,33.67,C,文件过大(33.67MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
政务治理/510255-图盾智控——图计算赋_能防控系统-项目策划书-2e385988.pdf,政务治理,pdf,72.24,C,文件过大(72.24MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
政务治理/534785-数湖启智——多源异构_湖智算系统-项目策划书-f602ec7a.pdf,政务治理,pdf,34.86,C,文件过大(34.86MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
教育服务/475513-人工智能赋能教学解决_教育大模型-项目策划书-050501c7.pdf,教育服务,pdf,40.49,C,文件过大(40.49MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
智能制造/慧心晰影-智能数字放射科医生辅助诊断系统.pptx,智能制造,pptx,58.76,C,文件过大(58.76MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
科技创新/482605-灵枢微创--人体自然_手术机器人-论文_调研报告-b56e9ce7.pdf,科技创新,pdf,35.26,C,文件过大(35.26MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
科技创新/元创未来——构建高交互元宇宙空间.pptx,科技创新,pptx,71.42,C,文件过大(71.42MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
科技创新/数湖启智——多源异构数据湖智算系统20250410V6.pptx,科技创新,pptx,37.28,C,文件过大(37.28MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
科技创新/禾光智能——PPT.pdf,科技创新,pdf,17.37,C,文档几乎未提取到有效文本，疑似扫描件或受保护文件。,建议补充可编辑版源文件（pptx/docx）或走OCR。
科技创新/项目计划书-影豹-当前版本-挑战杯网评-23-0315.pptx,科技创新,pptx,129.11,C,文件过大(129.11MB)，已跳过自动解析，可人工补充摘要后入库。,建议先做摘要版或拆分后再深度抽取。
